player,country,stat_value
Afghanistan,2015–2023,24
Australia,1975–2023,105
Bangladesh,1999–2023,49
Bermuda,2007–2007,3
Canada,1979–2011,18
East Africa,1975–1975,3
England,1975–2023,92
India,1975–2023,95
Ireland,2007–2015,21
Kenya,1996–2011,29
Namibia,2003–2003,6
Netherlands,1996–2023,29
New Zealand,1975–2023,99
Pakistan,1975–2023,88
Scotland,1999–2015,14
South Africa,1992–2023,74
Sri Lanka,1975–2023,89
United Arab Emirates,1996–2015,11
West Indies,1975–2019,80
Zimbabwe,1983–2015,57
1,428/5,50
2,417/6,50
3,413/5,50
4,411/4,50
5,410/4,50
1,345/4,345
2,329/7,328
3,322/3,322
4,322/4,319
5,313/7,313
1,36,18.4
2,45,40.3
14.0,Namibia,Australia
4,55,19.4
5,58,18.5
