player,country,value
Afghanistan,2015–2023,24.0
Australia,1975–2023,105.0
Bangladesh,1999–2023,49.0
Bermuda,2007–2007,3.0
Canada,1979–2011,18.0
East Africa,1975–1975,3.0
England,1975–2023,92.0
India,1975–2023,95.0
Ireland,2007–2015,21.0
Kenya,1996–2011,29.0
Namibia,2003–2003,6.0
Netherlands,1996–2023,29.0
New Zealand,1975–2023,99.0
Pakistan,1975–2023,88.0
Scotland,1999–2015,14.0
South Africa,1992–2023,74.0
Sri Lanka,1975–2023,89.0
United Arab Emirates,1996–2015,11.0
West Indies,1975–2019,80.0
Zimbabwe,1983–2015,57.0
1,428/5,50.0
2,417/6,50.0
3,413/5,50.0
4,411/4,50.0
5,410/4,50.0
1,345/4,345.0
2,329/7,328.0
3,322/3,322.0
4,322/4,319.0
5,313/7,313.0
1,36,18.4
2,45,40.3
4,55,19.4
5,58,18.5
